"Cat1","Cat2","Code","Art","Name","Price","Weight","WeightType","Description","photo"
"ПОСУДА","Ча Бань (Чайные доски)","cha-ban-chainye-doski","ч218","Чабань круглая D30 см.","10227 ₽","",""," – это основа чайной церемонии. «Ча» — по-китайски это чай. «Бань» — доска.","ч218.jpg"
"Китайский чай","Улуны","uluny","у89","Те Гуаньинь Сипин. Осень 2022","242 ₽","50"," г.","Те Гуань Инь — один из самых известных чаев как в Китае, так и за его пределами. Он множество раз получал премии на различных чайных выставках, и его экспорт постоянно растет.","у89.jpg"
"ПОСУДА","Чашечки","chashechki","ч239-3","Чашка «Веточка»","1400 ₽","","","","ч239-3.jpg"
"Китайский чай","Пуэр","puer","п428","Лао ча тоу Лао Бань Чжан 2002 год","1950 ₽","50"," г."," приготовленный из сырья 2002 года. Он спрессован в форме комков диаметром 1-5 см, которые образуются по краям куч из листьев пуэра в процессе влажного скирдования. Некоторые листики слеживаются, образуя комки, ферментация в которых идет медленнее – так получаются старые чайные головы","п428.jpg"
"Китайский чай","Улуны","uluny","у92","УЕ Дань Цун. 2022","1199 ₽","50"," г.","Аромат этого чая  очень красивый, яркий, цветочный с пряными и фруктовыми нотками.","у92.jpg"
"Китайский чай","Улуны","uluny","у70","Най Сян Цзинь Сюань (Молочный улун)","495 ₽","50"," г.","Урожай осени 2021 года.","у70.jpg"
"Китайский чай","Улуны","uluny","у16","Габа «Опал»","627 ₽","50"," г.",",  обладающий уникальными целебными свойствами.","у16.jpg"
"Китайский чай","Пуэр","puer","п129","То Ча Феникс Шу, 2016 год 100 г","418 ₽","100"," г.","","п129.jpg"
"ПОСУДА","Дорожный набор","products","н28","Дорожный набор","4962 ₽","","","","н28.jpg"
"ПОСУДА","Гайвани","gaivani","ч241-1","Гайвань стеклянная (orange)","1800 ₽","",""," – это чаша с крышкой и блюдцем-подставкой, которая издавна используется в Китае для заваривания чая.","ч241-1.jpg"
"ПОСУДА","Чашечки","chashechki","ч190-3","Чашка «Лист»","1260 ₽","","","Объемм: 110 мл.","ч190-3.jpg"
"Китайский чай","Зеленый чай","zelenyi-chai","з44","Лун Цзин А, весна 2022","649 ₽","50"," г.","","з44.jpg"
"Китайский чай","Улуны","uluny","у242","Тао Жен Сян Гао Шань","231 ₽","10"," г.","Тао Жень Сян —  средне ферментированный улун с гор Феникса (Фэнхуан Шань) из провинции Гуандун. Его полное название — Тао Жен Сян Гао Шань  Дань Цун («Одиночные кусты с ароматом персика»).","у242.jpg"
"Китайский чай","Зеленый чай","zelenyi-chai","з71","Юннань Е Шен Люй Ча. Весна 2022","275 ₽","50"," г.","дикорастущий зеленый чай родом из провинции Юннаньь. ","з71.jpg"
"ПОСУДА","Сервиз «Золотая нить»","products","ч215","Сервиз «Золотая нить»","10710 ₽","","","В нем есть все для красивого и правильного чаепития.","ч215.jpg"
"Китайский чай","Красный чай","krasnyi-chai","к7","Дянь Хун В.","330 ₽","50"," г.","которые придают вкусу мягкость и сладость. ","к7.jpg"
"Китайский чай","Пуэр","puer","п395","Бинг Ша Шен (Смузи Слива)","968 ₽","50"," г.","При изготовлении ","п395.jpg"
"Китайский чай","Красный чай","krasnyi-chai","к41","Янь Сюнь Сяо Чжун","1100 ₽","50"," г.","","к41.jpg"
"ПОСУДА","Чашка «Веточка», 125 мл","products","ч226-3","Чашка «Веточка»","1200 ₽","","","","ч226-3.jpg"
"ПОСУДА","Типоды","tipody","ч251","Чайник с деревянной ручкой, 450 мл","2756 ₽","300"," г.","","ч251.jpg"
"Китайский чай","Зеленый чай","zelenyi-chai","з73","Фуцзянь Мао Фен 2022","869 ₽","50"," г.","  ","з73.jpg"
"Китайский чай","Пуэр","puer","п306","Да Цзинь Я (Шу почки) B","447 ₽","50"," г.","Шу пуэр – это вид чая, сырье для которого подвергается ","п306.jpg"
"ПОСУДА","Кружка «Бархан» прозрачный, 360 мл","products","ч253","Кружка «Бархан» прозрачный, 360 мл","1800 ₽","","","","ч253.jpg"
"Китайский чай","Зеленый чай","zelenyi-chai","з61","Лун Цзин премиум 2022","1419 ₽","50"," г.","","з61.jpg"
"Китайский чай","Пуэр","puer","п398","Золотые почки из Биндао","1009 ₽","50"," г.","Шу пуэр – это вид чая, сырье для которого подвергается ","п398.jpg"
"Китайский чай","Красный чай","krasnyi-chai","к319","Шар Дянь Хун Фен Цин Сяо Лун, 8 г","600 ₽","80"," г.","Юньнаньский красный чай, подсушенный на открытом огне. ","к319.jpg"
"ПОСУДА","Гайвани","gaivani","ч241-2","Гайвань стеклянная (white)","1800 ₽","",""," – это чаша с крышкой и блюдцем-подставкой, которая издавна используется в Китае для заваривания чая.","ч241-2.jpg"
"ПОСУДА","Аксессуары","aksessuary","ф37","Кролик, изменяющий цвет","748 ₽","","","Веселый заяц, изменяющий цвет.","ф37.jpg"
"Китайский чай","Улуны","uluny","у246","Да Хун Пао Чжон Хуо (Средний огонь)","429 ₽","50"," г.",", входящий в четверку знаменитых утёсных чаев с гор У И вместе с Бай Цзы Гуань (Белый петушиный гребень), Шуй Цзинь Гуй (Золотая водяная черепаха) и Те Лохань (Железный архат).","у246.jpg"
"ПОСУДА","Ча Хай","cha-khai","ч258-1","Чахай с зеленой ручкой и ситом","1300 ₽","","","","ч258-1.jpg"
"ПОСУДА","Чашечки","chashechki","ч239-2","Чашка «Бамбук»","1400 ₽","","","","ч239-2.jpg"
"ПОСУДА","Чашечки","chashechki","ч133-3","Кружка Си Цзиньпин","179 ₽","","","","ч133-3.jpg"
"Китайский чай","Пуэр","puer","п358","Да Шу Сы Мао Шу Ча","771 ₽","50"," г.","– это вид чая, сырье для которого подвергается ","п358.jpg"
"Китайский чай","Пуэр","puer","п427","Лао ча тоу Лао Бань Чжан 2012 год","1525 ₽","50"," г."," приготовленный из сырья 2012 года. Он спрессован в форме комков диаметром 1-5 см, которые образуются по краям куч из листьев пуэра в процессе влажного скирдования. Некоторые листики слеживаются, образуя комки, ферментация в которых идет медленнее – так получаются старые чайные головы","п427.jpg"
"Китайский чай","Пуэр","puer","п380","Лао ча тоу 2006","405 ₽","50"," г.",", приготовленный из сырья 2006 года. Он спрессован в форме комков диаметром 1-5 см, которые образуются по краям куч из листьев пуэра в процессе влажного скирдования. Некоторые листики слеживаются, образуя комки, ферментация в которых идет медленнее – так получаются старые чайные головы","п380.jpg"
"ПОСУДА","Ча Хай","cha-khai","ч58","Чахай Бамбук","789 ₽","","","","ч58.jpg"
"ПОСУДА","Аксессуары","aksessuary","ф35","Крыса с монетками № 1","684 ₽","200"," г.","","ф35.jpg"
"ПОСУДА","Чашка «Иероглиф» №1, 75 мл","products","ч227-1","Чашка «Иероглиф» №1, 75 мл","1620 ₽","150"," г.","Объем: 75 мл.","ч227-1.jpg"
"Чайные наборы","Набор «Знакомство с чаем»","products","н1","Набор «Знакомство с чаем»","1638 ₽","300"," г."," —  это набор из 6 чаев в симпатичной сумочке. В состав входят молочный улун, пуэр классический,зеленый  чай, классический красный чай,  ароматный светлый улун Те Гуанинь и ферментированный улун из У И.","н1.jpg"
"Китайский чай","Пуэр","puer","п145","Юн Чжень Тин Лян Бай Хуа, 2018 год","2195 ₽","200"," г."," В плитке 15 квадратиков, ","п145.jpg"
"Китайский чай","Улуны","uluny","у209","Ми Лань Сян А 2022 год.","957 ₽","50"," г."," (Фэнхуан Шань) из провинции Гуандун. Его полное название - Ми Лань Сянь Дань Цун («Одиночные кусты с медовым ароматом»).","у209.jpg"
"Китайский чай","Улуны","uluny","у64","Лао Ча Ван 2019 года","550 ₽","50"," г.","","у64.jpg"
"Китайский чай","Зеленый чай","zelenyi-chai","з72","Сян Люй Ча, весна 2022","407 ₽","50"," г.","","з72.jpg"
"Китайский чай","Улуны","uluny","у101","У И Жоу Гуй","462 ₽","50"," г."," – утёсный северофуцзяньский улун средней степени ферментации.","у101.jpg"
"Китайский чай","Красный чай","krasnyi-chai","к60","Шай Хун Б","308 ₽","50"," г.","Шай Хун – это название метода приготовления чая. Переводится как «высушенный на солнце».","к60.jpg"
"Китайский чай","Пуэр","puer","п402","Юндэ Гао Шань Цзи Шу","1980 ₽","357"," г."," Этот пуэр отличается","п402.jpg"
"ПОСУДА","Ча Хай","cha-khai","ч243","Чахай «Красный квадрат»","700 ₽","",""," - непременный атрибут чаепития и обойтись без него совершено невозможно. В него сливают чай из чайничка или гайвани, и уже из него разливают по чашечкам.","ч243.jpg"
"ПОСУДА","Чашка «Монах» 40 мл","products","ч235","Чашка «Монах»","260 ₽","","","","ч235.jpg"
"ПОСУДА","Ча Хай","cha-khai","ч234","Чахай «Монах»","900 ₽","","","","ч234.jpg"
"ПОСУДА","Термос с датчиком температуры Blue","products","ч254-3","Термос с датчиком температуры Blue","980 ₽","","","Объем: 500 мл.","ч254-3.jpg"
"ПОСУДА","Чашечки","chashechki","ч190-4","Чашка «Лист» Бамбук","1260 ₽","150"," г.","Объем: 110 мл.","ч190-4.jpg"
"ПОСУДА","Чашечки","chashechki","ч190-7","Чашка «Лист» Хризантема","1260 ₽","150"," г.","Объем: 110 мл.","ч190-7.jpg"
"Китайский чай","Белый чай","whitetea","б17","Юэ Гуан Бай А 2022","408 ₽","50"," г.","Технологию его производства придумал местный чаевод Гу Цзяньтин. Сырье собирают с чайных деревьев сорта Цзингу Да Бай. После сбора чайный лист долго держат на свежем воздухе, что делает вкус чая гораздо более сладким, чем у классического белого чая из Фудина.","б17.jpg"
"ПОСУДА","Чашка «Галактика, 105 мл","products","ч228-7","Чашка «Галактика, 105 мл","800 ₽","150"," г.","Глина, глазурь,  105 мл.","ч228-7.jpg"
"Китайский чай","Красный чай","krasnyi-chai","к18","Сунь Чжень","435 ₽","50"," г."," – редкий юньнаньский чай, обладающий мягким ароматом.","к18.jpg"
"Китайский чай","Пуэр","puer","п278","Юн Чжень Мини Сяо То","38 ₽","7"," г."," –  шу пуэр от фабрики Синь Вэнь под маркой Юн Чжень из сырья 2016 года, спрессованного в виде мини точ.","п278.jpg"
"ПОСУДА","Чашечки","chashechki","ч190-1","Чашка «Лист» Счастливый клевер","1260 ₽","","","Объем: 110 мл.","ч190-1.jpg"
"ПОСУДА","Ча Хай","cha-khai","ч245","Чахай «Ромб» с зеленой ручкой","980 ₽","250"," г.","Стекло. Объем: 370 мл.","ч245.jpg"
"Китайский чай","Красный чай","krasnyi-chai","к5","Дянь Хун А","407 ₽","50"," г."," – ","к5.jpg"
"Китайский чай","Пуэр","puer","п359","Юн Дэ Гу Шу Ча","1378 ₽","","","рассыпной пуэр из сырья высокого качества.  Собран и произведен в известной провинции Юньнань.","п359.jpg"
"ПОДАРКИ НОВЫЙ ГОД 2023!","Подарок «Луноликая Мэйли»","products","чп24","Подарок «Луноликая Мэйли»","1150 ₽","150"," г."," ","чп24.jpg"
"Китайский чай","Пуэр","puer","п424","Тьен Льен «Небесный лотос», 2017 г.","2860 ₽","357"," г.","Тьен Льен «Небесный лотос»,  2017 г.","п424.jpg"
"Китайский чай","Пуэр","puer","п128","То Ча Феникс Шен, 100 г","418 ₽","100"," г."," ","п128.jpg"
"Нечайный ЧАЙ","МАТЧА","matcha","нч4","Питахайя молотая","982 ₽","100"," г."," –  производится из  вкусного тропического фрукта у котторого много имен: плод дракона, фрукт дракона, Dragon Fruit, клубничная груша или Питахайя. Он измельчен до состояния тонкой пудры.","нч4.jpg"
"ПОСУДА","Чашечки","chashechki","ч133-1","Кружка ""Мао"" 2","179 ₽","","","","ч133-1.jpg"
"Китайский чай","Пуэр","puer","п308","Иу Чашань Камфорный 2013","1848 ₽","357"," г.","Иу Чашань Камфорный  - фермерский шу из сырья 2013 года.","п308.jpg"
"Китайский чай","Пуэр","puer","п370","Гушу Цзинь Я 2009 год","5412 ₽","357"," г.","У этого шу пуэра повышенное содержание Ча Ци. Эффект - просто потрясающий. Хороший пуэр для начала дня.","п370.jpg"
"ПОСУДА","Чашечки","chashechki","ч83","Чашечка «Бамбук»","329 ₽","","","","ч83.jpg"
"Отсутствующие","Мусульманский Гриб Мо Гу То Шэн, 2007 год","products","п285","Мусульманский Гриб Мо Гу То Шэн, 2007 год","2420 ₽","250"," г.","","п285.jpg"
"Китайский чай","Пуэр","puer","п105","Ба Да Шань Гун Тин Менхай, 100 г","550 ₽","100"," г.","Сырье для этого пуэра собрано и спрессовано в округе Мэнхай.","п105.jpg"
"Китайский чай","Улуны","uluny","у207","Чжан Пин Шуй Сян Цин Сян","99 ₽","10"," г.","Прессованный уишаньский улун слабой ферментации. Аромат сухого листа яркий, душистый, с цветочно-медовыми, ягодными нотками. Прессовка умеренная, лист легко отделяется вручную.","у207.jpg"
"Китайский чай","Зеленый чай","zelenyi-chai","з74","Хуань Шань Мао Фен 2022","957 ₽","50"," г.","  ","з74.jpg"
"Китайский чай","Дянь Хун В. Урожай 2022","products","к321","Дянь Хун В. Урожай 2022","363 ₽","50"," г.","которые придают вкусу мягкость и сладость. ","к321.jpg"
"Китайский чай","Жасминовый чай","zhasminovyi-chai","з16","Моли Лун Чжу 2022","604 ₽","50"," г.","","з16.jpg"
"Китайский чай","Пуэр","puer","п325","Шар шен Сяо Лун, 8 г","600 ₽","80"," г.","Сырье подобрано специально под партию, этот чай мягко взбодрит и подарит гармонию. Очень удобен в заваривании. Один шарик - одна заварка, ничего не нужно отмерять. ","п325.jpg"
"ПОСУДА","Аксессуары","aksessuary","ф32-1","Мышка с ребенком № 2","882 ₽","200"," г.","","ф32-1.jpg"
"ПОСУДА","Ча Хай","cha-khai","ч183","Чахай «Лотос»","945 ₽","","","","ч183.jpg"
"ПОСУДА","Сито стеклянное","products","ч205","Сито стеклянное","336 ₽","","","","ч205.jpg"
"ПОСУДА","Сито стеклянное с ножками","products","ч206","Сито стеклянное","945 ₽","","","","ч206.jpg"
"Китайский чай","Пуэр","puer","п426","Лао ча тоу Лао Бань Чжан 2010 год","1850 ₽","50"," г.",". Он спрессован в форме комков диаметром 1-5 см, которые образуются по краям куч из листьев пуэра в процессе влажного скирдования. Некоторые листики слеживаются, образуя комки, ферментация в которых идет медленнее – так получаются старые чайные головы","п426.jpg"
"Китайский чай","Улуны","uluny","у217","Да Хун Пао Цин Сян Премиум","759 ₽","50"," г.","","у217.jpg"
"Китайский чай","Улуны","uluny","у132","УИ Хуан Мей Гуй Нун Сян","572 ₽","50"," г.",") – это улун средней степени прожарки категории «чжэнь янь дэ ча» (оригинальный утесный чай), ","у132.jpg"
"Китайский чай","Гунтин Премиум","products","п389","Гунтин Премиум","650 ₽","50"," г.",". ","п389.jpg"
"Китайский чай","Пуэр","puer","п422","Чжен Сян Пин, 2017","2530 ₽","357"," г.","Чжен Сян Пин, 2017 года.","п422.jpg"
"ПОСУДА","Чашка «Иероглиф» №3, 75 мл","products","ч227-3","Чашка «Иероглиф» №3, 75 мл","1620 ₽","150"," г.","Объем: 75 мл.","ч227-3.jpg"
"ПОСУДА","Термос с датчиком температуры Red","products","ч254-1","Термос с датчиком температуры Red","980 ₽","","","Объем: 500 мл.","ч254-1.jpg"
"Китайский чай","Жасминовый чай","zhasminovyi-chai","з17","Моли Хуа Ча, 2021 год","229 ₽","50"," г."," – китайский зеленый жасминовый чай. Моли по-китайски означает «жасмин». В купаже скрученные ворсистые верхние листочки с добавлением цветков жасмина. Как и все зеленые чаи, его собирают раз в год весной.","з17.jpg"
"Китайский чай","Пуэр","puer","п361","Мэнку Чжень Хэ Ду, 2021 г.","1980 ₽","357"," г.","чайные листья слегка подвяливают на открытом воздухе, а дальше они стареют естественным путем. Этот способ изготовления пуэра известен с глубокой древности. Технологию производства шу пуэра, когда подвяленные листья поливают водой и укрывают тканью, что способствует прению, придумали только в 1973 году. Со временем шен пуэр не только не портится, а, наоборот, улучшает свой вкус и воздействие на организм.","п361.jpg"
"Китайский чай","Хей Ча","khei-cha","хз5","Хей Ча Яо Сян Хуан Цин Сян","5060 ₽","1000"," г.","Хей Ча спрессован в  форме кирпича. Прессовка легкая, слои отделяются очень легко. При изготовлении этих «кирпичей» используется особая сложная технология.","хз5.jpg"
"Китайский чай","Красный чай","krasnyi-chai","к33","Цзинь Ло","1109 ₽","50"," г.",". Потом сырье сушат, скручивают в аккуратные спирали и завершают процесс ферментации прожариванием.","к33.jpg"
"ПОСУДА НОВИНКИ","Чашка «Море», 110 мл","products","ч228-6","Чашка «Море», 110 мл","800 ₽","150"," г.","Глина, глазурь,  110 мл.","ч228-6.jpg"
"ПОСУДА","Чашечки","chashechki","ч200","Чашка «Чайная капля» высокая","252 ₽","","","ОБъем: 85 мл.","ч200.jpg"
"ПОСУДА","Типоды","tipody","ч223","Типод 900 мл","2010 ₽","350"," г.","","ч223.jpg"
"ПОСУДА","Чашечки","chashechki","ч189-1","Чашка «Кратер» коралл","900 ₽","","","","ч189-1.jpg"
"ПОСУДА","Гайвани","gaivani","ч236","Гайвань «Золотой иероглиф»","1500 ₽","","","","ч236.jpg"
"Китайский чай","Улуны","uluny","у212","Ба Сянь Премиум 2022 г","1441 ₽","50"," г."," — это сильно ферментированный","у212.jpg"
"Китайский чай","Пуэр","puer","п284","Мусульманский шу «Гриб» Мо Гу То Шу 1999 год","4180 ₽","250"," г.","","п284.jpg"
"ПОСУДА","Чашечки","chashechki","ч225","Чашка обливная глазурь, 40 мл","1400 ₽","","","В Китае принято пить чай из небольших по объему пиал, от 20 до 70 мл. Чай заваривают в чайнчике или гайвани (чаше с крышкой), также небольших, от 100 до 300 мл. Заварки берут много, 1-2 столовые ложки. Чай настаивается от 20 до 60 секунд, его выпивают и снова заливают заварку кипятком. Качественный китайский чай остается крепким и выдерживает до  10 и более проливов. Каждая новая заварка будет немного другой по вкусу, так как чай раскрывается и в нем появляются новые оттенки.","ч225.jpg"
"ПОСУДА","Сито с деревянной ручкой","products","ч207","Сито с деревянной ручкой","966 ₽","","","","ч207.jpg"
"Ароматизированные чаи","Сливочный улун","products","а2","Сливочный улун","215 ₽","50"," г.","(светлый) улун с ярким сладким сливочно-молочным ароматом. Этот чай изготовлен из сырья Те Гуань Инь. Сливочный улун очень популярен, это ароматизированный чай, его качество определяется за счет сырья и ароматизатора высокого качества.","а2.jpg"
"Китайский чай","Пуэр","puer","п429","Бан Чжан шоу Кан, 2007 год","2420 ₽","357"," г."," шу пуэр, средней прессовки.","п429.jpg"
"Нечайный ЧАЙ","МАТЧА","matcha","нч1"," Анчан, Чангшу (Пурпурный чай)","485 ₽","50"," г.","Анчан (пурпурный чай) изготавливают из лепестков Клитории тройчатой или Анчана (Чанг Шу). Их собирают, высушивают и перемалывают в порошок.                                                                                    ","нч1.jpg"
"ПОСУДА НОВИНКИ","Термос с датчиком температуры Black","products","ч254-2","Термос с датчиком температуры Black","980 ₽","","","Объем: 500 мл.","ч254-2.jpg"
"Китайский чай","Пуэр","puer","п409","И Пин Тан Тин Сян","2420 ₽","357"," г.","Шу пуэр – это вид чая, сырье для которого проходит процесс ускоренной ферментации, благодаря этому шу пуэр обладает необычным запоминающимся древесным вкусом, сильным эффектом бодрости и множеством полезных свойств.","п409.jpg"
"ПОСУДА","Ча Хай","cha-khai","ч182","Чахай «Чайный лист»","945 ₽","","","","ч182.jpg"
"Китайский чай","Улуны","uluny","у250","Жень Шень Премиум","440 ₽","50"," г.","Жень Шень Премиум —  средне ферментированный тайваньский улун с добавлением корней женьшеня, солодки и других трав. ","у250.jpg"
"ПОСУДА","Чашка «Хай-тек» 40 мл.","products","ч229","Чашка «Хай-тек» 40 мл.","800 ₽","","","Объем: 40 мл.","ч229.jpg"
"ПОСУДА","Ча Хай","cha-khai","ч198","Чахай «Грани»","1260 ₽","",""," - непременный атрибут чаепития и обойтись без него совершено невозможно. В него сливают чай из чайничка или гайвани, и уже из него разливают по чашечкам.","ч198.jpg"
"ПОСУДА","Чашка «Хаки» 55 мл","products","ч232","Чашка «Хаки»","300 ₽","","","","ч232.jpg"
"Китайский чай","Красный чай","krasnyi-chai","к45","Хей Цзинь B Чёрное золото Урожай 2022","385 ₽","50"," г."," – ","к45.jpg"
"Китайский чай","Белый чай","whitetea","б15","Чунь Бай Хао. Весна 2022","737 ₽","50"," г."," нежный, сладкий, тонкий","б15.jpg"
"ПОСУДА","Сервиз «Ветви магнолии»","products","ч214","Сервиз «Ветви магнолии»","10500 ₽","","","В нем есть все для красивого и правильного чаепития.","ч214.jpg"
"ПОДАРКИ","Подарок «Вальс-бостон»","products","чп42","Подарок «Вальс-бостон»","1200 ₽","150"," г.","Состав подарка:","чп42.jpg"
"ПОСУДА","Чашечки","chashechki","ч133","Кружка ""Мао""","179 ₽","","","","ч133.jpg"
"Китайский чай","Улуны","uluny","у223","Те Гуаньинь Сян Хуа. Осень 2022","319 ₽","50"," г.","Те Гуань Инь — один из самых известных чаев как в Китае, так и за его пределами. Он множество раз получал премии на различных чайных выставках, и его экспорт постоянно растет.","у223.jpg"
"Китайский чай","Белый чай","whitetea","б323","Шар Бай Сяо Лун 8 г","600 ₽","80"," г.","","б323.jpg"
"Китайский чай","Улуны","uluny","у44","Да Хун Пао Цин Сян А. (Чжон Хун Пэй)","385 ₽","50"," г.","","у44.jpg"
